1 1 1
92 728 66 1
12 643 71 1
361 913 19 1
907 321 10 1
104 719 50 1
921 912 47 1
351 904 52 1
410 369 67 1
106 432 41 1
183 233 25 1
124 928 51 1
103 752 49 1
465 139 54 1
169 790 3 1
215 907 15 1
58 569 51 1
448 792 71 1
231 257 68 1
967 803 7 1
893 758 55 1
549 860 3 1
961 855 35 1
70 759 49 1
474 675 19 1
809 842 25 1
261 338 69 1
379 276 44 1
764 42 55 1
790 575 46 1
518 760 2 1
253 875 29 1
641 455 41 1
825 894 25 1
396 743 8 1
247 596 68 1
956 1 47 1
660 631 58 1
525 439 69 1
435 248 31 1
395 644 23 1
580 697 61 1
906 330 56 1
74 334 69 1
89 687 0 1
954 776 43 1
631 734 24 1
988 838 36 1
966 840 10 1
634 969 48 1
742 618 42 1
308 555 42 1
511 939 25 1
908 562 37 1
790 49 22 1
478 370 54 1
962 402 53 1
400 208 70 1
744 984 42 1
699 958 7 1
54 16 36 1
896 293 12 1
373 767 4 1
715 210 11 1
722 30 45 1
324 431 11 1
870 603 3 1
911 635 48 1
348 495 46 1
783 859 4 1
506 453 38 1
988 460 61 1
487 646 38 1
138 783 4 1
859 670 58 1
399 927 25 1
29 18 28
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
146 897 56 1
1 1 1
0 1000 7 215
51 26 42
92 948 36 841
173 390 28 493
903 798 1 787
222 675 10 585
360 888 37 762
985 656 61 856
414 39 54 656
840 451 13 674
195 704 13 867
722 419 52 273
646 120 52 674
785 62 29 241
805 944 55 199
189 77 70 418
921 27 46 52
644 635 70 443
246 372 49 168
258 124 63 30
389 544 2 297
290 661 4 945
786 765 54 113
142 176 19 960
183 531 68 428
333 157 20 86
95 530 59 93
678 784 49 562
523 648 0 910
437 931 3 780
626 598 37 198
903 243 26 231
754 111 43 210
930 958 5 334
845 288 56 839
50 209 37 545
149 934 33 147
104 354 15 310
486 800 1 81
499 444 54 826
473 894 63 819
315 577 60 7
398 413 68 184
588 326 9 54
504 82 18 597
315 704 34 940
13 858 45 469
648 893 19 54
386 585 53 467
48 171 53 710
116 593 10 565
471 90 24 477
518 827 14 56
18 11 15
441 19 39 24
884 530 20 47
434 754 70 100
5 12 14 96
98 692 2 8
451 90 5 19
758 847 66 9
411 5 26 65
323 188 29 37
0 194 53 45
195 1000 14 38
964 988 41 78
167 395 64 18
938 647 60 8
245 36 9 66
236 995 20 7
572 681 35 25
357 43 26 13
21 1 12
927 676 9 1
288 145 14 2
613 925 12 9
314 650 34 5
544 80 29 10
526 505 53 5
136 791 22 3
260 865 42 9
220 423 12 5
750 247 56 6
870 484 70 8
528 12 46 10
138 430 21 6
913 475 29 3
908 703 59 8
478 13 9 1
163 515 60 1
613 20 16 7
479 760 55 5
522 957 24 1
816 342 36 3
81 14 31
995 721 42 1
958 29 39 1
845 477 37 1
394 943 4 1
881 362 70 1
715 229 56 1
854 928 13 1
673 193 37 1
954 534 42 1
557 378 19 1
862 795 25 1
689 580 47 1
743 428 14 1
856 713 6 1
375 959 17 1
262 870 18 1
120 744 3 1
826 606 28 1
979 274 39 1
142 667 47 1
461 200 25 1
348 251 19 1
423 75 2 1
641 756 39 1
393 442 25 1
524 428 70 1
599 500 26 1
303 183 3 1
261 560 11 1
459 33 28 1
360 655 42 1
650 217 49 1
787 723 0 1
29 854 21 1
227 202 40 1
844 666 28 1
234 658 8 1
54 741 59 1
652 356 70 1
349 279 3 1
521 648 11 1
557 844 62 1
993 603 35 1
943 886 56 1
475 203 27 1
370 725 14 1
766 461 41 1
275 297 42 1
250 302 31 1
10 484 36 1
221 436 32 1
808 643 42 1
2 421 17 1
382 786 48 1
23 254 25 1
375 735 8 1
520 409 48 1
236 326 20 1
598 522 3 1
971 492 30 1
723 902 22 1
84 904 30 1
38 751 40 1
29 316 19 1
666 859 50 1
984 344 48 1
746 218 23 1
115 491 65 1
634 195 21 1
494 306 35 1
116 189 35 1
203 151 55 1
848 252 0 1
44 333 14 1
19 433 50 1
294 730 5 1
449 671 4 1
976 206 3 1
341 513 21 1
234 404 38 1
932 776 0 1
2 1 2
0 0 1 230
0 1000 67 34
68 30 10
622 346 66 111
652 836 53 22
657 478 42 626
507 236 53 333
440 536 45 536
720 517 8 175
464 540 13 675
60 43 13 714
594 328 30 129
997 206 62 105
890 122 32 599
732 678 70 725
813 431 44 175
854 916 28 760
701 958 36 347
62 649 56 989
429 838 5 791
377 118 43 81
220 404 29 802
651 861 65 460
53 946 6 493
187 690 23 408
704 285 11 353
554 233 22 224
553 641 24 53
116 641 32 666
210 327 45 310
477 776 24 885
628 753 49 269
276 965 20 979
686 700 8 908
684 799 52 824
240 973 22 472
741 347 49 160
714 357 51 944
56 865 65 4
145 671 47 955
624 509 39 365
225 640 44 22
701 123 69 887
367 191 57 468
109 117 27 479
77 454 11 331
804 263 38 181
109 611 12 381
475 387 4 643
992 951 38 211
569 358 12 771
810 760 46 36
786 22 25 123
951 211 59 172
888 492 45 124
952 458 13 37
597 135 47 311
339 393 0 353
156 98 63 766
583 223 17 660
376 358 39 961
213 724 45 862
258 651 17 125
317 954 14 663
60 246 21 838
918 683 31 881
488 473 65 430
696 235 53 433
563 526 9 171
604 481 54 654
243 472 70 172
47 36 15
995 233 24 91
461 938 8 60
125 187 61 54
793 435 20 77
326 228 11 94
380 649 45 58
703 442 48 9
398 321 36 85
167 38 7 78
276 950 33 62
842 975 10 30
821 576 67 75
260 579 24 55
121 662 55 25
885 478 53 20
568 798 6 76
280 404 22 11
594 495 41 22
151 475 68 76
54 859 62 29
470 467 38 92
167 850 34 8
252 361 41 92
106 796 22 33
340 543 65 9
160 211 67 97
879 660 15 14
657 910 40 21
520 644 66 65
999 26 17 19
573 878 24 48
402 387 15 39
483 818 44 33
742 904 4 25
344 874 22 50
23 837 45 21
98 766 56 70
501 761 0 98
445 307 5 1
654 134 29 54
811 77 66 11
465 201 47 56
867 894 55 61
944 902 2 60
855 762 52 6
519 966 52 42
787 465 62 11
46 20 23
629 429 22 8
143 278 44 3
189 81 9 2
887 203 23 1
802 98 9 9
414 79 22 5
101 657 41 5
929 592 17 8
964 896 42 2
947 46 71 6
306 896 25 1
799 862 33 2
737 561 54 10
879 849 52 10
627 128 25 9
389 479 5 5
742 20 5 5
182 770 60 6
356 306 23 10
590 560 67 9
643 363 46 5
559 322 6 4
20 498 34 3
794 488 67 2
860 320 70 6
863 363 65 5
119 103 63 3
851 818 42 10
867 279 52 3
629 948 10 9
523 706 22 1
895 465 71 5
373 489 23 10
644 858 25 6
960 511 4 3
652 936 57 7
873 302 69 1
842 987 3 5
498 186 57 8
525 304 45 8
877 816 29 6
956 599 48 3
917 227 59 1
112 72 20 1
55 610 13 6
246 58 53 7
60 8 30
569 790 14 1
19 361 35 1
521 555 6 1
961 886 4 1
710 975 45 1
843 59 34 1
457 578 45 1
786 206 44 1
112 552 51 1
444 182 61 1
67 56 7 1
859 776 1 1
37 14 66 1
927 74 22 1
755 940 15 1
647 957 38 1
841 543 52 1
74 752 33 1
709 568 48 1
492 225 5 1
112 762 12 1
362 653 8 1
372 419 36 1
654 386 9 1
696 853 5 1
135 627 36 1
808 463 22 1
99 227 69 1
497 98 24 1
825 700 17 1
393 878 48 1
967 335 50 1
704 362 2 1
910 208 33 1
108 637 13 1
782 600 12 1
400 669 43 1
867 862 63 1
337 446 55 1
575 817 52 1
252 186 70 1
526 689 61 1
278 655 41 1
985 551 70 1
643 636 63 1
80 367 5 1
585 713 5 1
327 726 4 1
325 544 47 1
742 559 11 1
230 104 53 1
586 277 32 1
661 338 1 1
105 316 24 1
92 421 45 1
820 326 21 1
579 355 32 1
202 715 55 1
31 23 47 1
729 797 5 1
1 1 1
1000 0 17 267
83 12 5
112 319 64 761
554 73 45 224
905 18 26 528
790 752 5 383
770 510 20 692
623 442 11 330
978 819 39 642
679 301 25 800
967 182 62 799
973 30 44 644
213 65 55 212
484 733 42 211
25 186 49 706
7 299 66 244
994 532 28 133
684 751 39 680
838 263 3 787
100 791 69 441
741 720 12 660
345 203 42 908
982 43 30 505
921 300 62 425
158 331 25 982
920 394 58 895
18 485 9 545
503 747 60 410
892 668 27 858
217 170 57 895
801 103 22 411
27 204 1 252
436 346 19 840
303 70 71 194
52 488 69 709
688 147 14 788
817 287 65 60
672 912 68 223
652 607 63 542
125 989 18 10
556 978 54 143
364 623 49 101
22 429 27 804
852 903 22 131
463 243 10 293
322 678 70 713
20 240 3 525
50 33 26 671
815 377 46 975
764 38 12 787
466 688 63 424
307 482 24 947
107 385 26 154
594 663 3 881
782 450 47 244
842 595 7 654
707 868 6 180
807 392 36 281
291 788 12 823
708 661 40 791
163 50 4 869
684 25 32 667
607 113 55 264
281 719 36 188
258 901 44 899
237 517 6 995
562 848 7 676
226 546 35 228
685 350 62 51
894 387 8 138
513 758 22 91
580 818 69 148
477 344 42 870
94 885 29 293
502 496 28 899
762 130 44 901
834 969 58 609
640 859 15 810
579 512 9 827
755 26 39 700
569 148 29 291
984 877 61 842
359 372 31 224
287 504 47 655
832 461 28 106
43 38 21
21 772 19 78
364 478 59 93
961 804 70 98
545 478 46 27
845 626 60 55
147 61 14 25
790 625 4 27
717 457 5 68
613 580 6 36
884 766 26 13
700 109 46 32
465 1 27 6
795 156 14 43
938 765 44 89
70 973 55 1
760 377 38 10
630 459 0 87
629 876 9 63
234 675 13 96
989 988 33 65
262 958 57 93
908 208 4 46
826 280 3 6
645 928 25 66
268 856 69 9
108 68 42 44
276 424 71 100
142 773 66 80
177 524 24 5
487 221 8 80
90 149 53 91
104 252 58 100
174 189 23 75
489 656 26 79
190 544 33 97
6 939 12 70
19 832 56 38
523 586 13 9
4 711 1 18
355 39 21 7
719 381 29 37
292 393 53 93
517 739 15 71
13 13 13
346 110 38 5
266 1000 37 8
637 38 54 3
574 555 60 7
41 365 65 4
185 460 60 4
22 213 39 9
66 24 39 1
634 236 54 4
51 673 26 1
778 640 0 6
237 61 51 5
531 954 38 3
55 5 18
748 121 60 1
352 435 14 1
248 705 9 1
638 914 68 1
726 155 44 1
365 145 70 1
418 657 24 1
343 216 7 1
150 614 51 1
7 956 47 1
115 789 45 1
484 33 38 1
381 802 47 1
530 331 23 1
996 56 21 1
88 858 54 1
229 574 44 1
790 497 58 1
702 141 28 1
268 665 43 1
542 313 22 1
370 395 68 1
668 2 6 1
574 407 26 1
536 589 41 1
314 621 66 1
908 638 32 1
906 224 22 1
96 664 51 1
341 105 25 1
779 434 15 1
545 613 62 1
674 660 0 1
124 251 36 1
444 723 46 1
149 206 68 1
611 428 36 1
181 456 25 1
822 458 20 1
783 90 46 1
882 141 19 1
551 104 3 1
102 931 3 1
548 48 24 1
504 992 19 1
925 567 8 1
245 325 33 1
898 143 7 1
909 499 56 1
680 713 60 1
542 224 9 1
845 455 31 1
481 749 54 1
733 491 67 1
117 554 66 1
2 2 2
0 0 9 595
1000 0 51 368
19 9 12
926 134 39 254
392 628 28 574
281 372 31 434
602 593 6 212
387 589 4 132
36 43 49 657
681 394 43 739
252 330 9 740
187 414 40 468
150 182 44 572
677 246 20 922
541 618 67 707
532 736 7 759
986 254 47 541
677 967 5 647
172 37 22 89
707 214 10 179
597 184 45 182
847 322 1 683
38 35 24
696 815 62 13
518 215 60 64
461 122 57 22
925 364 34 3
557 416 63 18
566 754 18 16
604 566 27 13
483 986 13 4
543 272 25 57
991 643 61 36
146 665 48 81
714 488 28 10
252 584 25 80
662 7 42 94
399 164 6 66
390 225 70 10
766 419 30 39
479 788 17 52
798 965 69 93
166 167 24 47
64 414 22 33
139 425 40 46
677 540 67 82
88 712 58 32
811 228 40 16
160 993 30 53
969 934 53 78
150 69 65 31
824 35 51 93
38 425 17 54
723 520 51 74
726 849 61 9
170 887 12 79
69 282 71 88
449 415 68 1
70 978 27 28
849 378 19 87
620 133 15 4
17 7 7
715 901 16 7
764 793 19 5
554 480 31 9
512 265 7 1
860 474 5 4
167 286 8 1
878 663 27 10
461 628 67 7
528 494 13 1
612 551 50 1
290 608 49 4
928 569 39 6
249 780 37 2
401 943 29 1
808 190 2 9
926 128 12 5
628 180 69 10
30 21 20
733 692 25 1
564 41 30 1
94 62 18 1
591 179 3 1
245 241 5 1
670 345 5 1
95 687 66 1
534 385 16 1
355 158 66 1
294 99 59 1
922 135 50 1
282 374 56 1
705 684 14 1
955 666 23 1
775 777 8 1
366 770 0 1
449 653 40 1
645 464 64 1
523 362 10 1
105 995 64 1
666 860 29 1
48 193 66 1
893 762 56 1
258 391 21 1
145 311 45 1
690 907 62 1
109 200 48 1
732 504 39 1
250 635 23 1
2 217 50 1
2 2 2
0 1000 49 894
1000 0 34 178
44 1 30
735 95 16 662
386 364 8 720
585 867 3 329
288 637 46 699
320 496 28 324
435 757 41 147
557 110 8 841
483 643 24 49
836 667 41 253
204 540 36 503
796 947 25 233
998 41 42 450
334 749 37 6
554 95 31 616
582 432 43 966
671 358 57 873
525 601 28 528
589 70 12 280
124 819 50 730
954 280 42 497
243 74 34 678
78 183 41 706
673 780 19 983
62 841 49 564
504 552 29 19
921 160 51 952
768 635 51 816
755 296 18 619
116 644 16 256
362 334 5 748
678 984 61 951
466 7 19 267
907 126 41 545
875 77 21 274
785 836 15 263
725 165 14 197
248 473 19 784
4 896 62 19
893 236 36 929
515 66 66 492
563 383 59 760
483 608 45 570
77 872 34 890
242 71 27 346
72 64 6
186 9 30 36
447 392 31 11
638 682 55 17
893 457 63 6
243 326 43 28
568 646 41 60
696 340 61 89
603 767 58 20
776 251 10 93
426 353 38 6
404 852 41 42
781 608 62 66
506 697 59 80
337 680 29 8
683 27 10 16
434 924 30 75
316 1 37 50
876 208 0 15
65 919 42 36
649 591 26 5
161 38 3 30
471 679 30 23
967 983 65 1
771 973 57 54
735 483 11 74
828 817 1 66
302 235 40 97
329 31 13 2
566 704 40 12
200 951 40 26
463 448 38 44
6 821 22 34
744 649 24 24
293 827 61 55
32 179 21 79
314 826 61 22
885 403 13 20
566 609 56 65
397 79 45 85
628 215 18 39
9 85 56 50
652 884 9 57
253 125 62 21
294 483 5 92
389 859 64 25
753 572 33 95
787 606 9 29
60 964 24 16
423 313 30 8
156 19 64 28
284 118 38 95
820 358 50 34
834 630 11 44
527 334 31 17
500 529 47 51
573 132 20 63
629 642 31 44
576 393 46 98
542 64 43 61
685 576 22 82
117 6 35 23
837 429 38 19
198 529 19 66
968 528 42 69
114 484 7 39
57 690 8 49
331 778 15 44
655 200 71 16
785 307 12 48
974 340 11 77
335 671 32 48
724 22 39 77
14 4 2
116 142 50 9
484 836 41 6
538 544 24 8
617 757 69 8
20 212 71 4
545 564 45 10
611 622 68 3
178 419 15 1
325 882 17 3
859 219 14 5
785 732 31 4
9 217 29 4
278 624 4 5
424 749 17 2
26 3 19
160 977 51 1
870 536 64 1
189 418 42 1
502 798 15 1
933 552 17 1
904 859 47 1
313 962 38 1
118 352 4 1
677 488 37 1
571 236 54 1
793 703 31 1
386 57 22 1
227 375 54 1
720 39 63 1
821 566 22 1
461 213 13 1
599 422 62 1
784 750 8 1
937 121 68 1
830 448 26 1
185 371 12 1
106 173 12 1
63 959 1 1
177 633 37 1
960 464 66 1
426 790 10 1
3 3 1
0 0 14 424
0 1000 67 67
1000 0 19 936
80 24 55
929 393 61 753
539 608 4 854
843 450 37 805
601 423 39 633
743 507 55 826
557 124 67 619
87 102 35 804
41 181 12 335
830 607 66 79
784 327 18 245
479 185 33 45
832 685 44 45
934 413 5 253
913 159 15 593
164 668 71 148
220 705 31 871
611 505 55 127
911 286 42 669
309 213 67 254
737 700 10 299
536 919 14 987
535 824 40 156
788 345 10 744
908 966 11 772
980 414 65 732
280 191 57 466
526 485 69 686
796 57 59 295
877 429 45 176
565 330 2 485
461 314 17 61
156 870 46 209
989 830 10 842
581 192 51 953
602 740 69 592
85 589 27 22
612 46 15 40
521 551 25 515
358 283 39 597
874 333 2 243
598 477 48 237
529 526 19 590
475 890 70 800
467 75 47 308
939 318 30 503
487 795 40 288
62 948 40 221
377 548 43 558
518 655 70 585
271 248 31 748
43 543 44 802
2 141 51 292
883 708 7 961
14 636 68 184
736 328 24 930
878 288 30 812
910 985 16 674
877 921 0 496
143 127 11 346
833 512 35 115
866 665 71 658
504 372 49 128
801 194 28 726
497 983 31 844
437 743 59 332
472 345 53 629
69 913 24 115
892 385 66 492
504 859 9 142
845 463 18 659
504 131 30 446
370 202 18 480
635 254 1 339
555 462 8 888
863 256 21 155
560 960 13 412
407 949 49 33
55 419 20 582
160 481 12 943
815 509 18 740
26 12 19
806 480 52 22
898 879 6 44
824 930 11 66
83 51 61 66
574 897 11 10
308 351 47 53
484 432 6 51
702 298 27 4
877 195 40 70
772 814 10 36
792 778 31 23
421 49 31 89
562 117 5 45
327 131 16 14
875 477 2 76
913 539 4 77
740 119 60 97
70 755 4 40
753 691 40 81
61 358 4 96
420 606 63 98
220 842 24 81
358 400 68 3
901 52 25 48
45 798 35 24
210 120 32 71
76 55 12
71 886 2 5
552 409 10 9
4 858 14 3
26 886 47 1
965 26 17 3
386 232 67 10
669 993 36 10
498 484 12 4
677 284 36 10
589 661 51 1
457 402 46 3
533 963 26 3
752 472 65 8
985 240 71 8
76 780 0 4
568 357 49 9
451 114 63 4
232 941 63 8
341 668 43 3
583 495 54 7
463 468 13 7
46 263 25 8
494 969 61 9
320 90 48 6
326 603 0 9
499 525 4 3
147 808 19 2
337 818 54 8
476 101 23 8
755 772 69 9
139 477 37 9
136 692 62 3
282 377 17 8
978 361 36 2
630 946 65 4
286 866 7 3
220 720 29 4
798 859 54 4
632 68 46 8
373 488 7 5
390 254 40 9
796 708 67 6
442 50 18 5
76 413 29 2
359 614 26 9
685 850 65 3
575 599 35 6
230 86 7 4
638 279 56 5
899 487 62 5
292 862 24 9
2 189 11 5
688 587 66 4
55 293 50 10
39 355 48 9
412 288 33 3
827 495 45 4
801 94 65 4
395 606 8 10
967 965 70 9
253 225 9 6
455 443 44 10
117 919 49 9
20 566 50 6
951 73 35 1
165 783 56 8
374 624 7 2
840 935 26 2
199 193 43 7
96 958 68 8
544 363 42 10
783 116 61 2
189 62 7 10
550 880 54 4
77 399 0 1
996 340 66 6
3 3 2
608 758 61 1
354 630 60 1
931 379 45 1
1 1 1
1000 1000 40 913
38 24 12
268 540 42 887
439 171 0 593
949 70 30 576
873 403 21 780
593 118 6 20
221 734 10 594
50 341 31 21
170 665 6 179
214 561 41 771
795 392 27 309
602 773 16 279
47 469 19 668
314 42 30 787
406 328 60 426
249 306 51 276
414 611 29 782
746 843 13 866
500 13 6 166
639 75 23 28
664 250 3 407
919 581 6 399
277 25 49 713
752 211 38 30
813 714 31 797
750 843 65 376
258 92 54 680
997 327 40 22
289 736 17 687
178 484 23 147
535 221 61 355
99 747 29 252
32 502 58 948
884 799 1 232
532 217 71 263
703 990 5 663
373 457 49 346
27 334 15 812
7 502 60 612
51 37 5
788 608 67 100
713 133 24 53
437 443 63 74
30 126 14 98
171 641 57 93
7 44 64 46
789 57 30 47
615 212 12 91
770 874 36 71
686 939 58 66
138 50 20 50
103 589 67 5
672 119 49 28
821 676 10 4
402 299 40 98
973 727 46 21
75 146 54 32
638 23 70 33
915 601 68 54
549 292 59 91
951 1 70 73
768 614 33 77
366 65 23 72
393 223 21 80
378 13 61 24
580 463 56 14
257 893 19 94
605 306 58 47
260 592 42 66
109 618 47 26
739 482 62 56
620 184 53 70
742 152 15 71
74 192 19 36
792 968 68 66
388 828 52 45
515 117 41 40
535 562 1 42
220 617 10 29
958 451 18 33
441 367 53 69
430 221 5 27
492 876 28 74
596 495 13 70
401 301 40 19
112 290 44 82
855 536 6 4
919 465 16 73
53 73 53 26
640 887 25 88
603 167 30 82
50 45 50
462 402 69 6
771 847 7 10
98 4 15 8
797 934 45 4
808 146 4 9
912 88 45 2
606 33 56 10
617 125 38 10
681 851 42 2
756 553 62 2
301 589 41 1
260 402 62 4
300 208 56 7
34 734 1 9
238 323 42 5
955 912 29 2
388 901 30 2
481 722 16 4
153 337 51 10
484 520 67 7
409 408 45 6
640 272 50 2
965 790 6 4
116 641 10 5
317 599 37 7
221 264 65 10
82 315 34 8
175 806 65 5
910 658 7 5
464 201 45 2
123 566 48 5
511 847 34 3
692 971 59 7
495 925 63 10
9 184 49 3
388 178 5 4
776 605 26 7
173 563 70 5
241 184 68 6
415 726 25 5
673 774 29 7
710 740 28 4
158 460 12 6
313 322 64 5
468 612 11 3
610 5 17 1
32 210 7 2
989 97 3 7
989 820 38 10
618 997 61 2
86 43 24
297 914 2 1
614 242 19 1
571 227 36 1
789 504 52 1
